-0.0676175,-0.0486445,
244.027,234.711,225.387,
-1.55278,-1.05343,-0.721866,
-0.0846598,-0.033496,-0.0486445,
244.918,235.158,225.387,
-2.01573,-1.28051,-0.721866,
-0.0848078,-0.0658607,-0.0486445,
244.439,237.943,231.46,225.387,
-1.73917,-1.55925,-1.11331,-0.721866,
-0.00050714,-0.0515297,-0.0824738,-0.0486445,
243.824,225.387,
-2.12974,-0.721866,
-0.100717,-0.0486445,
244.439,230.717,225.387,
-1.73917,-1.08211,-0.721866,
-0.00050714,-0.0883916,-0.0486445,
244.764,225.387,
-2.06337,-0.721866,
-0.0788754,-0.0486445,
245.086,235.238,225.387,
-1.52715,-1.08391,-0.721866,
-0.0651337,-0.0328409,-0.0486445,
244.439,233.074,225.387,
-1.73917,-1.22762,-0.721866,
-0.00050714,-0.0722256,-0.0486445,
