157.983,150.819,144.107,136.307,128.504,120.698,
-44.6653,-55.845,-57.3318,-57.0016,-56.7576,-56.7454,
1.52568,0.478061,-0.041616,-0.0398943,-0.0195183,0.0195119,
157.983,145.777,137.418,129.059,120.698,
-44.6653,-56.8967,-57.0236,-56.8133,-56.7454,
1.52568,0.0544557,-0.0145464,-0.0261943,0.0195119,
157.983,145.22,137.045,128.871,120.698,
-44.6653,-56.407,-56.3727,-56.5435,-56.7454,
1.52568,-0.0238441,0.0118948,0.0263468,0.0195119,
157.983,141.44,134.546,127.64,120.698,
-44.6653,-58.6624,-57.7783,-57.0039,-56.7454,
1.52568,-0.116009,-0.129367,-0.0841935,0.0195119,
157.983,135.331,128.047,120.698,
-44.6653,-58.0335,-57.0178,-56.7454,
1.52568,-0.183498,-0.0906967,0.0195119,
157.983,144.829,136.785,120.698,
-44.6653,-56.4236,-56.4796,-56.7454,
1.52568,0.00207572,0.0112784,0.0195119,
157.983,145.507,137.239,128.969,120.698,
-44.6653,-56.8603,-57.0453,-56.8288,-56.7454,
1.52568,0.0682061,-0.0126724,-0.0289038,0.0195119,
157.983,142.992,135.573,128.138,120.698,
-44.6653,-57.5262,-56.9797,-56.7274,-56.7454,
1.52568,-0.0944132,-0.0531826,-0.0152075,0.0195119,
157.983,135.626,128.182,120.698,
-44.6653,-57.8211,-56.9954,-56.7454,
1.52568,-0.134624,-0.0791154,0.0195119,
157.983,154.231,145.593,137.294,128.998,120.698,
-44.6653,-53.3322,-57.0973,-57.056,-56.8076,-56.7454,
1.52568,0.79271,0.0232963,-0.0253477,-0.0266091,0.0195119,
157.983,145.596,137.3,128.999,120.698,
-44.6653,-56.1591,-56.4674,-56.6176,-56.7454,
1.52568,0.0521296,0.0248885,0.0140159,0.0195119,
157.983,144.339,136.461,128.579,120.698,
-44.6653,-56.8096,-56.6075,-56.6181,-56.7454,
1.52568,-0.043203,-0.0101249,0.0107801,0.0195119,
157.983,143.537,135.95,128.331,120.698,
-44.6653,-58.1179,-57.2706,-56.8058,-56.7454,
1.52568,-0.135473,-0.0865346,-0.034873,0.0195119,
157.983,136.117,128.426,120.698,
-44.6653,-57.6823,-56.9154,-56.7454,
1.52568,-0.135246,-0.0620962,0.0195119,
157.983,150.577,143.6,135.97,128.341,120.698,
-44.6653,-56.3222,-57.8693,-57.3898,-56.8931,-56.7454,
1.52568,0.481566,-0.045671,-0.0718813,-0.0501536,0.0195119,
157.983,141.364,134.515,127.617,120.698,
-44.6653,-58.3522,-57.3657,-56.8319,-56.7454,
1.52568,-0.176345,-0.109965,-0.04468,0.0195119,
157.983,136.985,128.856,120.698,
-44.6653,-57.3905,-56.7554,-56.7454,
1.52568,-0.133953,-0.0307744,0.0195119,
157.983,150.384,143.077,135.642,128.178,120.698,
-44.6653,-56.8645,-58.1494,-57.3238,-56.8299,-56.7454,
1.52568,0.469597,-0.129417,-0.0900398,-0.0403967,0.0195119,
157.983,141.185,134.417,127.577,120.698,
-44.6653,-58.9296,-57.6822,-56.9262,-56.7454,
1.52568,-0.214478,-0.148108,-0.0701114,0.0195119,
157.983,145.541,137.264,128.981,120.698,
-44.6653,-56.5018,-56.7721,-56.732,-56.7454,
1.52568,0.0660476,0.00657386,-0.00893803,0.0195119,
157.983,142.39,135.211,120.698,
-44.6653,-58.7591,-57.5889,-56.7454,
1.52568,-0.191809,-0.129916,0.0195119,
157.983,140.573,134.019,127.371,120.698,
-44.6653,-58.5909,-57.3527,-56.8,-56.7454,
1.52568,-0.24832,-0.129994,-0.0407167,0.0195119,
157.983,143.109,135.672,128.204,120.698,
-44.6653,-58.8369,-57.7781,-56.9807,-56.7454,
1.52568,-0.14562,-0.130556,-0.0755118,0.0195119,
157.983,150.761,144.04,136.263,120.698,
-44.6653,-55.7992,-57.254,-56.9389,-56.7454,
1.52568,0.471029,-0.0432357,-0.0355512,0.0195119,
157.983,143.102,135.655,128.184,120.698,
-44.6653,-58.0848,-57.3187,-56.8345,-56.7454,
1.52568,-0.116392,-0.0861155,-0.0408143,0.0195119,
157.983,135.774,128.236,120.698,
-44.6653,-56.6433,-56.6323,-56.7454,
1.52568,-0.0134201,0.00863625,0.0195119,
157.983,150.081,143.132,135.656,128.177,120.698,
-44.6653,-55.6601,-56.9616,-56.7579,-56.679,-56.7454,
1.52568,0.416516,-0.0346798,-0.0193511,-0.00128717,0.0195119,
157.983,140.045,131.648,126.222,120.698,
-44.6653,-59.2723,-58.1362,-57.0501,-56.7454,
1.52568,0.0151031,-0.265441,-0.128027,0.0195119,
157.983,150.499,143.392,135.832,120.698,
-44.6653,-56.599,-58.1811,-57.6037,-56.7454,
1.52568,0.487122,-0.0511946,-0.0907335,0.0195119,
157.983,145.101,136.964,128.834,120.698,
-44.6653,-57.2849,-57.2735,-56.8966,-56.7454,
1.52568,0.0453019,-0.0359706,-0.0445673,0.0195119,
157.983,142.395,135.163,127.941,120.698,
