244.953,235.691,226.438,
-1.53488,-1.25995,-0.793989,
-0.024916,-0.0372158,-0.0661842,
244.439,231.559,226.438,
-1.73917,-1.19132,-0.793989,
-0.00050714,-0.0906781,-0.0661842,
244.681,226.438,
-1.88275,-0.793989,
-0.0579538,-0.0661842,
244.806,235.626,226.438,
-2.30103,-1.4952,-0.793989,
-0.0889641,-0.0840046,-0.0661842,
244.439,238.118,231.81,226.438,
-1.73917,-1.61032,-1.20757,-0.793989,
-0.00050714,-0.0411646,-0.0872456,-0.0661842,
244.175,226.438,
-1.83605,-0.793989,
-0.057187,-0.0661842,
244.151,226.438,
-1.76203,-0.793989,
-0.0287194,-0.0661842,
