196.48,188.679,180.879,173.079,165.279,158.005,
-1.71485,-1.65913,-1.55484,-1.48441,-1.53025,-12.3842,
-0.000507123,-0.0120176,-0.0129609,-0.00333716,0.0168537,1.3638,
196.48,188.308,180.135,171.968,163.867,158.005,
-1.71485,-1.58574,-1.46365,-1.73395,-2.77883,-12.3842,
-0.000507123,-0.0232286,0.00121261,0.0728164,0.191583,1.3638,
196.48,188.47,180.459,172.45,164.455,158.005,
-1.71485,-1.6546,-1.5975,-1.71682,-2.18555,-12.3842,
-0.000507123,-0.0109304,0.000278956,0.0331208,0.0875953,1.3638,
196.48,188.681,180.889,173.088,165.305,158.005,
-1.71485,-1.47275,-1.04417,-0.863406,-1.36463,-12.3842,
-0.000507123,-0.0522733,-0.0483418,0.0112876,0.126615,1.3638,
196.48,188.628,180.786,172.933,165.105,158.005,
-1.71485,-1.43424,-0.941117,-0.746011,-1.35907,-12.3842,
-0.000507123,-0.0601015,-0.0546582,0.0158226,0.151341,1.3638,
188.665,180.961,173.151,165.427,160.131,158.005,
-0.83241,0.808033,1.72977,0.446921,-4.95148,-12.3842,
-0.192744,-0.195255,-0.00803921,0.368902,1.13182,1.3638,
196.48,188.457,180.435,172.415,164.421,158.005,
-1.71485,-1.64756,-1.60066,-1.79439,-2.4482,-12.3842,
-0.000507123,-0.0116926,0.00457693,0.0483014,0.119481,1.3638,
196.48,188.321,180.168,172.007,163.936,158.005,
-1.71485,-1.42428,-0.98506,-1.03324,-2.19997,-12.3842,
-0.000507123,-0.0577013,-0.036949,0.0617498,0.238395,1.3638,
196.48,188.59,180.71,172.818,164.967,158.005,
-1.71485,-1.42227,-0.924701,-0.779915,-1.54448,-12.3842,
-0.000507123,-0.0618478,-0.0524841,0.0275838,0.178356,1.3638,
196.48,180.409,172.373,164.386,158.005,
-1.71485,-1.28786,-1.39036,-2.26155,-12.3842,
-0.000507123,-0.0177736,0.0519948,0.174031,1.3638,
196.48,180.838,173.016,165.209,158.005,
-1.71485,-1.36613,-1.36006,-1.84259,-12.3842,
-0.000507123,-0.0199892,0.0244592,0.105034,1.3638,
196.48,188.469,180.465,172.452,164.513,158.005,
-1.71485,-1.43192,-0.991268,-0.992614,-2.03211,-12.3842,
-0.000507123,-0.0576286,-0.0398911,0.0527054,0.220161,1.3638,
188.574,180.753,172.849,165.019,159.908,158.005,
-0.929849,0.525864,1.33016,0.155186,-5.0972,-12.3842,
-0.169455,-0.170674,-0.00416398,0.330076,1.1618,1.3638,
196.48,180.067,171.863,163.748,158.005,
-1.71485,-1.31647,-1.55965,-2.74615,-12.3842,
-0.000507123,-0.00822987,0.0774541,0.222835,1.3638,
196.48,188.512,180.545,172.578,164.636,158.005,
-1.71485,-1.6126,-1.48918,-1.60746,-2.22958,-12.3842,
-0.000507123,-0.0196595,-0.00582013,0.0410108,0.120833,1.3638,
196.48,188.38,180.282,172.186,164.101,158.005,
-1.71485,-1.72297,-1.80856,-2.05111,-2.52991,-12.3842,
-0.000507123,0.00414906,0.0186235,0.0429162,0.0770272,1.3638,
196.48,188.738,181.011,173.267,165.552,158.005,
-1.71485,-1.3859,-0.797246,-0.533418,-1.17872,-12.3842,
-0.000507123,-0.0718357,-0.0676312,0.0121063,0.167377,1.3638,
196.48,188.369,180.262,172.151,164.129,158.005,
-1.71485,-1.46493,-1.10987,-1.22923,-2.39762,-12.3842,
-0.000507123,-0.0491937,-0.0264336,0.0677732,0.233427,1.3638,
188.589,180.731,172.834,165.008,158.005,
-1.19919,-0.276624,0.131876,-0.893648,-12.3842,
-0.110528,-0.103745,0.0198441,0.260238,1.3638,
196.48,188.493,180.513,172.523,164.598,158.005,
-1.71485,-1.42622,-0.963891,-0.920725,-1.88675,-12.3842,
-0.000507123,-0.0593689,-0.044008,0.0455755,0.209382,1.3638,
