-0.00050714,-0.0498919,0.0311155,0.242515,1.54115,
192.121,183.177,174.235,165.315,157.303,
-1.71264,-1.64249,-1.71086,-2.32175,-21.2827,
-0.00050714,-0.00764027,0.0304711,0.113827,1.54115,
192.121,182.847,173.573,164.36,157.303,
-1.71264,-1.56752,-1.62884,-2.62486,-21.2827,
-0.00050714,-0.017652,0.0440137,0.18449,1.54115,
192.121,182.999,173.877,164.803,157.303,
-1.71264,-1.55015,-1.55187,-2.43574,-21.2827,
-0.00050714,-0.0219638,0.035496,0.171872,1.54115,
184.586,177.082,169.533,162.251,157.846,157.041,157.303,
-1.14132,-0.22182,-0.131177,-2.02211,-7.28285,-14.2428,-21.2827,
-0.124827,-0.092986,0.0950154,0.439177,1.23602,1.60335,1.54115,
192.121,183.284,174.447,165.618,157.303,
-1.71264,-1.50572,-1.28371,-1.63109,-21.2827,
-0.00050714,-0.03529,-0.00392237,0.0935957,1.54115,
192.121,183.302,174.484,165.684,157.303,
-1.71264,-1.66264,-1.74263,-2.28378,-21.2827,
-0.00050714,-0.00456626,0.0289763,0.100121,1.54115,
192.121,183.471,174.821,166.173,157.303,
-1.71264,-1.72499,-1.71215,-1.58616,-21.2827,
-0.00050714,0.0016672,-0.00633018,-0.0244993,1.54115,
192.121,183.121,174.124,165.143,157.303,
-1.71264,-1.70916,-1.86793,-2.42868,-21.2827,
-0.00050714,0.00418152,0.0355546,0.0936121,1.54115,
184.563,177.015,169.454,162.113,156.972,157.303,
-1.31937,-0.747221,-0.895483,-2.64383,-14.4219,-21.2827,
-0.0836457,-0.0478466,0.10689,0.380565,1.61944,1.54115,
192.121,183.219,174.318,165.442,157.303,
-1.71264,-1.33592,-0.932484,-1.57764,-21.2827,
-0.00050714,-0.0639378,-0.00650872,0.17178,1.54115,
192.121,183.104,174.09,165.103,157.303,
-1.71264,-1.68412,-1.84472,-2.54915,-21.2827,
-0.00050714,0.000753183,0.0414489,0.12158,1.54115,
192.121,183.031,173.943,164.858,157.303,
-1.71264,-1.81233,-2.06242,-2.37562,-21.2827,
-0.00050714,0.0208402,0.0325866,0.0347321,1.54115,
192.121,183.684,175.249,166.811,157.303,
-1.71264,-1.54461,-1.26132,-1.18104,-21.2827,
-0.00050714,-0.0330311,-0.0278318,0.0150909,1.54115,
192.121,183.23,174.34,165.458,157.303,
-1.71264,-1.75367,-1.93457,-2.32845,-21.2827,
-0.00050714,0.0111088,0.0309591,0.0590439,1.54115,
192.121,183.45,174.779,166.121,157.303,
-1.71264,-1.55018,-1.42707,-1.87617,-21.2827,
-0.00050714,-0.0267135,0.0085681,0.105338,1.54115,
192.121,182.985,173.846,164.802,157.303,
-1.71264,-1.35451,-1.14304,-2.35294,-21.2827,
-0.00050714,-0.0545053,0.0315851,0.257764,1.54115,
192.121,182.993,173.865,164.782,157.303,
-1.71264,-1.53786,-1.51053,-2.3604,-21.2827,
-0.00050714,-0.0244267,0.0317954,0.168159,1.54115,
192.121,182.627,173.127,163.81,157.303,
-1.71264,-1.11172,-0.663014,-2.36729,-21.2827,
-0.00050714,-0.0905578,0.031523,0.365735,1.54115,
192.121,182.938,173.758,164.6,157.303,
-1.71264,-1.72274,-1.93206,-2.59455,-21.2827,
-0.00050714,0.00732775,0.0428872,0.106171,1.54115,
192.121,174.653,165.923,157.303,
-1.71264,-1.60235,-1.83943,-21.2827,
-0.00050714,0.00662341,0.0523629,1.54115,
192.121,182.815,173.513,164.217,157.303,
-1.71264,-1.79774,-2.05583,-2.47688,-21.2827,
-0.00050714,0.0186198,0.0366775,0.053666,1.54115,
192.121,183.01,164.813,157.303,
-1.71264,-1.46396,-1.91614,-21.2827,
